Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/get/key_0,1432,0,470,474.5935754189944,78,2728,114.51885474860335,4.780034366895577,0.0,470,570,630,680,800,940,1100,1400,2300,2700,2700
GET,/get/key_1,1386,0,480,486.53246753246754,77,2214,112.58658008658008,4.6264857768975345,0.0,480,570,640,680,810,970,1100,1500,2000,2200,2200
GET,/get/key_10,1432,0,490,493.59846368715085,78,3026,114.50558659217877,4.780034366895577,0.0,490,570,630,670,820,970,1300,1600,2600,3000,3000
GET,/get/key_100,1443,0,460,469.7983367983368,79,2002,115.70478170478171,4.8167525079820654,0.0,460,560,620,670,800,920,1100,1300,2000,2000,2000
GET,/get/key_11,1416,0,490,487.55790960451975,77,3226,114.73940677966101,4.726626161678866,0.0,490,570,630,680,800,960,1100,1400,2600,3200,3200
GET,/get/key_12,1368,0,480,485.12134502923976,79,2975,114.71198830409357,4.566401546028736,0.0,480,580,630,670,780,930,1100,1500,2800,3000,3000
GET,/get/key_13,1437,0,490,490.49338900487123,77,2725,114.50730688935282,4.796724431025799,0.0,490,570,640,690,820,960,1100,1500,2500,2700,2700
GET,/get/key_14,1410,0,480,478.1985815602837,77,3069,114.7,4.7065980847226,0.0,480,580,620,670,800,930,1000,1200,2400,3100,3100
GET,/get/key_15,1460,0,480,474.1876712328767,78,2193,114.69109589041096,4.87349872602482,0.0,480,570,620,660,770,920,1100,1300,1800,2200,2200
GET,/get/key_16,1417,0,470,474.908962597036,77,2443,114.72477064220183,4.729964174504911,0.0,470,560,620,660,760,920,1100,1600,2100,2400,2400
GET,/get/key_17,1439,0,470,467.0,78,2928,114.62682418346074,4.803400456677887,0.0,470,560,610,650,760,900,1000,1400,2800,2900,2900
GET,/get/key_18,1375,0,460,466.4552727272727,78,2555,115.528,4.589767635811047,0.0,460,560,620,670,780,920,1000,1200,2500,2600,2600
GET,/get/key_19,1466,0,480,485.7094133697135,77,3217,114.71896316507504,4.8935268029810866,0.0,480,570,630,680,790,900,1100,1200,2700,3200,3200
GET,/get/key_2,1436,0,480,481.04944289693594,78,3709,114.51532033426184,4.793386418199755,0.0,480,570,630,670,800,940,1100,1400,2400,3700,3700
GET,/get/key_20,1480,0,480,485.397972972973,77,2456,114.6391891891892,4.940258982545708,0.0,480,570,630,670,820,980,1200,1700,2200,2500,2500
GET,/get/key_21,1412,0,470,474.7301699716714,76,2765,114.6657223796034,4.713274110374689,0.0,470,560,630,680,800,950,1100,1300,2000,2800,2800
GET,/get/key_22,1439,0,470,471.37526059763724,76,3729,113.62682418346074,4.803400456677887,0.0,470,560,610,660,780,910,1100,1200,2800,3700,3700
GET,/get/key_23,1358,0,480,484.87555228276875,78,2516,113.57511045655376,4.533021417768292,0.0,480,570,620,670,800,970,1200,1500,2000,2500,2500
GET,/get/key_24,1444,0,480,477.2534626038781,79,3727,114.72437673130194,4.82009052080811,0.0,480,570,630,680,790,900,1100,1300,3000,3700,3700
GET,/get/key_25,1400,0,490,487.335,77,2644,114.73857142857143,4.673217956462156,0.0,490,580,640,680,810,960,1200,1500,2200,2600,2600
GET,/get/key_26,1429,0,470,473.90482855143455,77,2026,114.71378586424073,4.770020328417444,0.0,470,560,620,670,770,950,1100,1300,1900,2000,2000
GET,/get/key_27,1451,0,490,484.18332184700205,77,2264,113.60578911095796,4.843456610590421,0.0,490,580,630,680,790,920,1200,1500,2200,2300,2300
GET,/get/key_28,1428,0,480,481.70658263305324,78,2773,114.72268907563026,4.7666823155913995,0.0,480,560,620,670,810,980,1100,1300,2100,2800,2800
GET,/get/key_29,1447,0,480,481.05666897028334,78,2480,114.72356599861783,4.830104559286243,0.0,480,580,640,680,790,940,1100,1300,2500,2500,2500
GET,/get/key_3,1386,0,450,466.487012987013,79,1976,113.71717171717172,4.6264857768975345,0.0,450,550,610,660,770,950,1100,1300,1900,2000,2000
GET,/get/key_30,1435,0,490,478.9303135888502,78,2502,114.49337979094076,4.79004840537371,0.0,490,560,620,670,780,880,1100,1400,2500,2500,2500
GET,/get/key_31,1443,0,480,478.7519057519057,79,2475,115.54054054054055,4.8167525079820654,0.0,480,580,630,680,800,940,1100,1300,2400,2500,2500
GET,/get/key_32,1367,0,480,477.82589612289684,76,2300,113.62984637893197,4.563063533202691,0.0,480,570,620,680,790,940,1100,1300,2000,2300,2300
GET,/get/key_33,1543,0,470,475.7790019442644,78,2389,115.50745301360985,5.150553790586505,0.0,470,560,620,660,800,960,1100,1500,2300,2400,2400
GET,/get/key_34,1460,0,470,481.6472602739726,76,2022,114.72465753424657,4.87349872602482,0.0,480,570,630,690,820,970,1200,1400,1800,2000,2000
GET,/get/key_35,1434,0,480,473.13249651324963,77,2481,113.60041841004184,4.786710392547666,0.0,480,570,620,660,770,880,1100,1100,2300,2500,2500
GET,/get/key_36,1406,0,490,489.37126600284495,77,2536,114.64509246088194,4.693246033418423,0.0,490,580,630,680,800,970,1200,1400,2500,2500,2500
GET,/get/key_37,1451,0,490,485.5237767057202,77,3677,115.55616815988974,4.843456610590421,0.0,490,570,640,680,820,940,1100,1200,2700,3700,3700
GET,/get/key_38,1405,0,490,486.0120996441281,79,2460,114.7202846975089,4.689908020592378,0.0,490,570,620,670,800,970,1100,1300,2100,2500,2500
GET,/get/key_39,1520,0,480,498.2190789473684,77,2721,114.74144736842105,5.073779495587484,0.0,480,580,640,690,840,990,1400,1700,2600,2700,2700
GET,/get/key_4,1499,0,490,491.1087391594396,78,2671,112.62441627751835,5.003681226240552,0.0,490,580,630,680,810,940,1200,1400,2400,2700,2700
GET,/get/key_40,1364,0,480,479.89956011730203,76,2681,114.64442815249267,4.553049494724558,0.0,480,570,620,670,800,960,1200,1400,2100,2700,2700
GET,/get/key_41,1444,0,490,492.143351800554,76,2037,114.52562326869806,4.82009052080811,0.0,490,580,640,690,850,950,1100,1500,2000,2000,2000
GET,/get/key_42,1403,0,490,491.21382751247324,77,3349,114.54811119030649,4.683231994940289,0.0,490,580,640,690,810,940,1100,1400,2200,3300,3300
GET,/get/key_43,1402,0,490,481.75392296718974,77,2528,115.49714693295293,4.679893982114245,0.0,490,560,620,670,800,940,1100,1300,2300,2500,2500
GET,/get/key_44,1460,1,480,482.69794520547947,39,2558,114.56643835616438,4.87349872602482,0.0033380128260443974,480,570,620,670,800,980,1200,1500,2500,2600,2600
GET,/get/key_45,1489,1,460,474.8032236400269,38,2678,114.66151779717931,4.970301097980108,0.0033380128260443974,460,550,610,670,800,940,1200,1500,2500,2700,2700
